# Story knowledge base (Phase 143, reason family). Curated by hand — this file
# IS the engine's world knowledge; every naming chain ends at one of these.
# Columns: name <TAB> kind <TAB> origin <TAB> gloss <TAB> tags(comma) <TAB> spice(0-1)
# kind: myth | foreign | craft | nautical | astro | nature | literary
# tags are lowercase concepts the activation map can hit (mundane or imagery).
# spice: 0 = familiar/safe, 1 = exotic/bold — the Wild register prefers high.
Mimir	myth	Norse	well that holds all memory and wisdom	memory,wisdom,knowledge,archive,recall,note	0.5
Fylgja	myth	Norse	spirit that quietly follows a person	follow,state,companion,track,shadow,sync	0.9
Huginn	myth	Norse	Odin's raven Thought, flying the world	thought,observe,scout,message,watch,mind	0.6
Muninn	myth	Norse	Odin's raven Memory, flying the world	memory,observe,recall,note,archive	0.6
Heimdall	myth	Norse	ever-watchful guardian of the gate	watch,guard,gate,alert,monitor,log	0.4
Bifrost	myth	Norse	rainbow bridge between worlds	bridge,connect,link,gateway,transfer	0.5
Yggdrasil	myth	Norse	world tree binding the nine realms	tree,structure,root,connect,graph,world	0.7
Norn	myth	Norse	weaver of every fate thread	weave,thread,fate,schedule,pipeline	0.6
Skald	myth	Norse	court poet who keeps the sagas	write,story,record,docs,verse	0.6
Kenning	literary	Norse	two-word poetic riddle-name	name,word,language,compose,riddle	0.8
Saga	literary	Norse	long told history of deeds	story,history,record,log,journal	0.2
Runa	foreign	Old Norse	secret lore; a rune	secret,symbol,code,cipher,letter	0.5
Seidr	myth	Norse	weaving magic that reads fate	weave,predict,magic,analyze	1.0
Valka	myth	Norse	chooser of the worthy (valkyrie root)	choose,select,filter,curate	0.8
Argus	myth	Greek	hundred-eyed watchman who never sleeps	watch,monitor,log,observe,alert,guard	0.3
Talos	myth	Greek	bronze automaton guarding the island	automation,robot,guard,build,patrol	0.5
Daedal	myth	Greek	of Daedalus, the master builder	build,craft,invent,architect,maze	0.8
Ariadne	myth	Greek	her thread leads out of the labyrinth	thread,navigate,guide,debug,trace,path	0.5
Charon	myth	Greek	ferryman across the river	transfer,move,migrate,ship,carry	0.5
Hermes	myth	Greek	swift messenger between worlds	message,fast,deliver,notify,queue	0.2
Iris	myth	Greek	rainbow messenger of the gods	message,color,notify,bridge	0.2
Mnemos	myth	Greek	from Mnemosyne, memory herself	memory,note,recall,archive,cache	0.7
Lethe	myth	Greek	river of forgetting	forget,clear,clean,delete,reset	0.7
Kairos	foreign	Greek	the exactly right moment	time,timing,moment,schedule,cron	0.6
Chronos	myth	Greek	time itself personified	time,clock,schedule,history	0.3
Aegis	myth	Greek	the protecting shield of Zeus	protect,shield,secure,guard,auth	0.3
Helios	myth	Greek	the sun who sees everything	sun,light,observe,energy,day	0.3
Eos	myth	Greek	dawn who begins every day	dawn,start,begin,fresh,daily	0.5
Boreas	myth	Greek	the north wind	wind,fast,cold,force,stream	0.6
Zephyr	myth	Greek	the gentle west wind	wind,fast,light,gentle,breeze	0.3
Orpheus	myth	Greek	music that moves stones	music,sound,audio,charm,play	0.4
Kalliope	myth	Greek	muse of the beautiful voice	voice,music,write,epic,audio	0.6
Atlas	myth	Greek	carries the world on his shoulders	carry,map,world,hold,support	0.1
Pharos	craft	Greek	the great lighthouse of Alexandria	lighthouse,guide,beacon,log,navigate,signal	0.6
Agora	foreign	Greek	the open market and meeting square	market,gather,community,forum,trade	0.4
Krypta	foreign	Greek	hidden vaulted chamber	hidden,secret,vault,crypto,store	0.7
Lexis	foreign	Greek	word; way of speaking	word,language,name,dictionary,text	0.5
Techne	foreign	Greek	art, craft, skill	craft,skill,build,tool,art	0.7
Ostraka	craft	Greek	pottery shards used as ballots and notes	vote,note,fragment,record	1.0
Janus	myth	Roman	two faces watching door and passage	gate,door,transition,migrate,proxy,version	0.4
Vesta	myth	Roman	keeper of the hearth fire	keep,home,warm,constant,uptime	0.4
Terminus	myth	Roman	god of the boundary stone	boundary,limit,end,edge,border	0.5
Fortuna	myth	Roman	fortune who turns the wheel	luck,chance,random,fortune	0.3
Lumen	foreign	Latin	a measure of light	light,bright,clear,lamp	0.2
Nexus	foreign	Latin	the binding knot	connect,link,join,hub	0.1
Verax	foreign	Latin	truth-telling	true,verify,honest,check,validate	0.7
Celer	foreign	Latin	swift	fast,speed,quick,performance	0.7
Custos	foreign	Latin	the guardian	guard,protect,secure,watch,keep	0.7
Arcanum	foreign	Latin	the sealed secret	secret,hidden,vault,password,mystery	0.6
Codex	craft	Latin	the first bound book	book,record,document,rules,archive	0.2
